,pdbStructureId,pdbCompoundIdAgg,new_col
0,1a6y,['5IU'],['1a6y loaded']
1,1cay,['ACY'],['1cay loaded']
2,1fa0,"['3AD', '3AT']",['1fa0 loaded']
3,1fby,['9CR'],['1fby loaded']
4,1grf,['ACM'],['1grf loaded']
5,1h19,['ACY'],['1h19 loaded']
6,1h1r,['6CP'],['1h1r loaded']
7,1jcq,['ACY'],['1jcq loaded']
8,1m9q,['5NI'],['1m9q loaded']
9,1n1m,['A3M'],['1n1m loaded']
10,1n5r,['ACY'],['1n5r loaded']
11,1nh2,['5IU'],['1nh2 loaded']
12,1nl9,['989'],['1nl9 loaded']
13,1o0f,['A3P'],['1o0f loaded']
14,1o3e,['696'],['1o3e loaded']
15,1o42,['843'],['1o42 loaded']
16,1o45,['687'],['1o45 loaded']
17,1o4r,['787'],['1o4r loaded']
18,1pin,['1PG'],['1pin loaded']
19,1q4l,['679'],['1q4l loaded']
20,1qyw,['5SD'],['1qyw loaded']
21,1r8q,['AFB'],['1r8q loaded']
22,1spj,['ACY'],['1spj loaded']
23,1sze,['173'],['1sze loaded']
24,1t9s,['5GP'],['1t9s loaded']
25,1ttm,['667'],['1ttm loaded']
26,1u4l,['ACY'],['1u4l loaded']
27,1wpq,['13P'],['1wpq loaded']
28,1xpz,['4TZ'],['1xpz loaded']
29,1yc1,['4BC'],['1yc1 loaded']
30,1yjo,['ACY'],['1yjo loaded']
31,1ykr,['628'],['1ykr loaded']
32,2aov,['4DI'],['2aov loaded']
33,2arp,['1PG'],['2arp loaded']
34,2doj,['ADN'],['2doj loaded']
35,2e2r,['2OH'],['2e2r loaded']
36,2e5a,['ACY'],['2e5a loaded']
37,2fhy,['A37'],['2fhy loaded']
38,2gu8,['796'],['2gu8 loaded']
39,2h4k,['509'],['2h4k loaded']
40,2h8g,['ADE'],['2h8g loaded']
41,2hd4,['ACY'],['2hd4 loaded']
42,2i6a,['5I5'],['2i6a loaded']
43,2jc9,['ADN'],['2jc9 loaded']
44,2ohm,['8AP'],['2ohm loaded']
45,2qoe,['448'],['2qoe loaded']
46,2rgu,['356'],['2rgu loaded']
47,2rkd,['3PP'],['2rkd loaded']
48,2uwd,['2GG'],['2uwd loaded']
49,2uwo,['701'],['2uwo loaded']
50,2uwp,['894'],['2uwp loaded']
51,2vst,['243'],['2vst loaded']
52,2wgz,['147'],['2wgz loaded']
53,2wi7,['2KL'],['2wi7 loaded']
54,2wzb,['3PG'],['2wzb loaded']
55,2x7f,['824'],['2x7f loaded']
56,2zoq,['5ID'],['2zoq loaded']
57,3bfx,['A3P'],['3bfx loaded']
58,3cho,['4BG'],['3cho loaded']
59,3da9,['44U'],['3da9 loaded']
60,3dd8,['2C7'],['3dd8 loaded']
61,3dzu,['9CR'],['3dzu loaded']
62,3fu3,['92G'],['3fu3 loaded']
63,3g42,['792'],['3g42 loaded']
64,3g5d,['1N1'],['3g5d loaded']
65,3gs4,['7BD'],['3gs4 loaded']
66,3i8v,['0MO'],['3i8v loaded']
67,3ik3,['0LI'],['3ik3 loaded']
68,3kpv,['ADE'],['3kpv loaded']
69,3lq8,['88Z'],['3lq8 loaded']
70,3mp8,['ACY'],['3mp8 loaded']
71,3nks,['ACJ'],['3nks loaded']
72,3orn,['3OR'],['3orn loaded']
73,3otb,['3PO'],['3otb loaded']
74,3phx,['ACY'],['3phx loaded']
75,3qdd,['94M'],['3qdd loaded']
76,3t3s,['9PL'],['3t3s loaded']
77,4c3p,['ACP'],['4c3p loaded']
78,4c8b,['0LI'],['4c8b loaded']
79,4cxg,['5MU'],['4cxg loaded']
80,4dv9,['2OP'],['4dv9 loaded']
81,4dxu,['ACA'],['4dxu loaded']
82,4h2f,['ADN'],['4h2f loaded']
83,4j53,['1J4'],['4j53 loaded']
84,4jkv,['1KS'],['4jkv loaded']
85,4jps,['1LT'],['4jps loaded']
86,4jsq,['ABN'],['4jsq loaded']
87,4k17,['ABU'],['4k17 loaded']
88,4lkm,['5PV'],['4lkm loaded']
89,4m8o,['5IU'],['4m8o loaded']
90,4nky,['3QZ'],['4nky loaded']
91,4o3f,['3PG'],['4o3f loaded']
92,4owy,['ACY'],['4owy loaded']
93,4phu,['2YB'],['4phu loaded']
94,4qms,['1N1'],['4qms loaded']
95,4u0i,['0LI'],['4u0i loaded']
96,4xem,['A5A'],['4xem loaded']
97,4xi3,['29S'],['4xi3 loaded']
98,5a1i,['ADN'],['5a1i loaded']
99,5a3d,['5IU'],['5a3d loaded']
100,5axa,['ADN'],['5axa loaded']
101,5bnl,['2HC'],['5bnl loaded']
102,5g2n,['6E2'],['5g2n loaded']
103,5i6x,['8PR'],['5i6x loaded']
104,5i71,['68P'],['5i71 loaded']
105,5k4j,['6QB'],['5k4j loaded']
106,5lby,['6T2'],['5lby loaded']
107,5nxc,['9DB'],['5nxc loaded']
108,5p9i,['1E8'],['5p9i loaded']
109,5phe,['231'],['5phe loaded']
110,5rhn,['8BR'],['5rhn loaded']
111,5t18,['73T'],['5t18 loaded']
112,5tdm,['ADN'],['5tdm loaded']
113,5te8,['08J'],['5te8 loaded']
114,5u5l,['7VA'],['5u5l loaded']
115,5vd2,['34W'],['5vd2 loaded']
116,5vjn,['ADE'],['5vjn loaded']
117,5w9d,['9XY'],['5w9d loaded']
118,6a5y,['9CR'],['6a5y loaded']
119,6bbe,['1PG'],['6bbe loaded']
120,6g33,['5ID'],['6g33 loaded']
121,6hxb,['ACP'],['6hxb loaded']
122,6hxs,['ADN'],['6hxs loaded']
123,6joi,['6T2'],['6joi loaded']
124,6rvz,['ADN'],['6rvz loaded']
125,6tu9,['0LI'],['6tu9 loaded']
126,6y2l,['3HE'],['6y2l not loaded']
127,6ybw,['5MC'],['6ybw loaded']
128,6z2q,['ACY'],['6z2q loaded']
129,7e2z,['9SC'],['7e2z loaded']
130,7lqz,['6EU'],['7lqz loaded']
131,7o80,['5MC'],['7o80 not loaded']
